replica,region,elapsed_min,network_rtt_ms,scrape_ms,num_running_reqs
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,17.806,257.2,197.1,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,18.31,237.8,208.8,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,18.813,335.6,289.2,4
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,19.323,518.0,205.2,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,19.839,563.5,216.7,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,20.35,454.4,213.0,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,20.853,381.1,215.3,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,21.357,327.7,594.4,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,21.867,398.7,206.0,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,22.376,338.1,206.6,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,22.88,298.8,207.9,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,23.383,522.8,1700.8,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,23.912,773.0,763.9,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,24.435,599.7,970.9,4
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,24.951,486.0,223.4,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,25.456,399.6,207.2,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,25.96,342.5,201.1,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,26.465,301.0,206.6,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,26.968,270.1,201.2,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,27.472,359.8,204.7,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,27.981,312.1,204.1,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,28.491,390.7,574.0,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,29.0,552.4,577.9,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,29.516,446.4,199.4,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,30.019,490.7,215.2,5
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,30.529,629.4,596.1,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,31.045,610.8,945.5,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,31.561,597.1,961.4,0
